name,reviews.text,reviews.rating
"Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,",My son was very pleased with this kindle and will read more often now.,5.0
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",I bought it for my 2 (almost 3) year old. He really lover it. I love that I can put a timer on it and he can't be on it all day. It's easy to use. The only thing I hate is how fast the battery runs down even if not in use.,5.0
"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",Bought for my three kids and so far there are no complaints. Easy to use!,4.0
"Kindle Voyage E-reader, 6 High-Resolution Display (300 ppi) with Adaptive Built-in Light, PagePress Sensors, Wi-Fi - Includes Special Offers,","I can finally read late at night, and I can adjust the brightness so it doesn't disrupt my sleep!",5.0
"Echo (White),,,
Echo (White),,,","This is great! Plays music, answers questions, keeps my shopping list, sets a timer or alarm clock and soo much more. Only regret is that I didn't buy it sooner",5.0
"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",You get wath you paid not comparable to a apple tablet never,1.0
"Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,",It's my second Kindle but it didn't come with any instructions so it's taking a little while to figure out. The back lighting is great.,4.0
"Echo (White),,,
Echo (White),,,",This has been the best tablet for my son. It is durable and easy to use.,5.0
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta","I've had my other Kindle Fire for 5-6 years. It's still working but slowing down. I bought the updated version while it was on sale. I love it! I play games on it, download books, check my email and facebook. It's like a portable mini computer and I wouldn't be without it. I like it better than other people's tablets and you can't beat the price. I bought some for gifts and everybody loves it! I'd recommend it to people of all ages.",5.0
"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",Love my FireTablet !! A must have if you have Amazon Prime.,5.0
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Convenient and easy for my 10 year old to use to do homework on.,4.0
"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",Loved the gift my daughter can't put it down kid friendly,5.0
"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Black",I love love love this tablet. My old hp tablet finally quit working and check around what would serve my needs and this was it,5.0
"Amazon Fire Tv,,,
Amazon Fire Tv,,,",I love my Alexa product. Even considering getting the smaller speaker for my bedroom so I can listen to music to fall asleep,5.0
"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta","The tablet is great! Easy to use, better than the Galaxy that I have.",5.0
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",It's works really well and don't have any issues at all,5.0
"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",bought for grandkids they love them. wise choice I made,5.0
"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta","For the price, this tablet is great! Does what is needed and its sleek.",5.0
"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",This is a great starter tablet for an 11 year old.,4.0
